GRB,Observed,Afterglow,Redshift
091018,Yes,Yes,0.971
091029,No,Yes,2.752
091109A,No,Yes,3.076
091208B,No,Yes,1.063
100205A,Yes,Yes,NaN
100219A,Yes,Yes,4.667
100316B,Yes,Yes,1.18
100316D,Yes,Yes,0.059
100413A,No,No,NaN
100418A,Yes,Yes,0.6235
100424A,No,Yes,NaN
100425A,Yes,Yes,1.755
100513A,No,Yes,4.772
100526A,No,Yes,NaN
100606A,No,No,NaN
100615A,No,No,NaN
100621A,Yes,Yes,0.542
100728B,Yes,Yes,2.105
100814A,Yes,Yes,1.44
100816A,Yes,Yes,0.806
100823A,Yes,Yes,NaN
100901A,Yes,Yes,1.408
100905A,No,No,NaN
101011A,No,No,NaN
101024A,No,Yes,NaN
110128A,Yes,Yes,2.339
110312A,Yes,No,NaN
110407A,Yes,Yes,NaN
110709B,No,No,NaN
110808A,Yes,Yes,1.348
110818A,Yes,Yes,3.36
110915A,No,No,NaN
111008A,Yes,Yes,4.99
111107A,Yes,Yes,2.893
111117A,Yes,No,NaN
111123A,Yes,No,NaN
111129A,Yes,Yes,NaN
111204A,Yes,No,NaN
111209A,Yes,Yes,0.677
111228A,Yes,Yes,0.714
120118B,No,No,NaN
120119A,Yes,Yes,1.728
120211A,Yes,No,NaN
120224A,Yes,No,NaN
120312A,No,Yes,NaN
120320A,No,Yes?,NaN
120404A,Yes,Yes,2.876
120422A,Yes,Yes,0.283
120612A,Yes,No,NaN
120703A,No,Yes,NaN
120712A,Yes,Yes,4.1745
120714B,Yes,Yes,0.3984
120722A,Yes,No,0.9586
120724A,No,Yes,1.48
120805A,No,Yes,NaN
120907A,No,Yes,0.97
120909A,Yes,Yes,3.93
120922A,No,Yes,NaN
120923A,Yes,Yes,NaN
121024A,Yes,Yes,2.298
121027A,Yes,Yes,1.773
121123A,No,Yes,NaN
121201A,Yes,Yes,3.385
121226A,No,No,NaN
130131B,Yes,No,2.539
130418A,Yes,Yes,1.218
130427A,Yes,Yes,0.3399
130427B,Yes,Yes,2.78
130502A,No,Yes,NaN
130505A,No,Yes,2.27
130511A,No,Yes,1.303
130527A,No,No,NaN
130529A,No,No,NaN
130603B,Yes,Yes,0.356
130606A,Yes,Yes,5.913
130609A,No,No,NaN
130610A,No,Yes,2.092
130612A,Yes,Yes,2.006
130615A,Yes,Yes,NaN
130701A,Yes,Yes,1.155
130725B,No,Yes,NaN
130803A,No,No,NaN
130822A,No,No,NaN
130831A,No,Yes,0.4791
130925A,No,Yes,0.347
131002B,No,No,NaN
131024A,No,No,NaN
131030A,Yes,Yes,1.295
131103A,Yes,Yes,0.595
131105A,Yes,Yes,1.686
131117A,Yes,Yes,4.042
131202A,No,Yes,NaN
140114A,No,Yes,NaN
140129A,No,Yes,NaN
140301A,Yes,Yes,1.416
140318A,No,Yes,1.02
140331A,No,No,NaN
140428A,No,Yes,4.7
140506A,Yes,Yes,0.889
140515A,Yes,Yes,6.32
140614A,Yes,Yes,4.233
140614B,Yes,No,NaN
140619A,No,Yes,NaN
140622A,Yes,Yes,0.959
140628A,No,Yes,NaN
140706A,No,Yes,NaN
140719A,No,Yes?,NaN
140730A,No,No,NaN
140916A,No,No,NaN
140930B,No,Yes,NaN
141017A,No,Yes,NaN
141109A,Yes,Yes,2.993
141121A,No,Yes,1.47
141212A,No,No,0.596
141225A,No,Yes,0.915
150202A,Yes,No,NaN
150222A,No,No,NaN
150301B,Yes,Yes,1.517
150403A,Yes,Yes,2.06
150423A,Yes,Yes,1.394?
150428A,Yes,Yes,NaN
150711A,Yes,No,NaN
150727A,Yes,Yes,0.313
150821A,Yes,Yes,0.755
150831A,No,Yes,NaN
150910A,Yes,Yes,1.359
150915A,Yes,Yes,1.968
151021A,Yes,Yes,2.33
151027B,Yes,Yes,4.063
151029A,Yes,Yes,1.423
151031A,Yes,Yes,1.167
151111A,No,Yes,3.5ph
151127A,No,No,NaN
151210A,No,Yes,NaN
160117B,Yes,Yes,0.87
160123A,No,No,NaN
160127A,No,Yes,NaN
160131A,No,Yes,0.972
160203A,Yes,Yes,3.52
160228A,Yes,Yes,1.64
160303A,Yes,No,NaN
160314A,Yes,Yes,0.726
160410A,Yes,Yes,1.717
160417A,No,Yes,NaN
160425A,Yes,Yes,0.555
160607A,No,Yes,NaN
160624A,No,No,0.483
160801A,No,No,NaN
161001A,Yes,Yes,0.891?
161007A,Yes,No,NaN
161014A,Yes,Yes,2.823
161104A,No,No,NaN
